"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","619","antoher has title","chromium","Sat Aug 09 20:00:45 UTC 2025","passed","Sat Aug 09 20:00:46 UTC 2025","","another_sample.spec.ts","",""
"","730","get started link","chromium","Sat Aug 09 20:00:47 UTC 2025","passed","Sat Aug 09 20:00:48 UTC 2025","","example.spec.ts","",""
"","375","has title","chromium","Sat Aug 09 20:00:47 UTC 2025","passed","Sat Aug 09 20:00:47 UTC 2025","","example.spec.ts","",""
"","814","second get started link","chromium","Sat Aug 09 20:00:46 UTC 2025","passed","Sat Aug 09 20:00:47 UTC 2025","","another_sample.spec.ts","",""
